Name,NACA 0015
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.158000
95.000000,1.008000
90.000000,1.810000
80.000000,3.279000
70.000000,4.580000
60.000000,5.704000
50.000000,6.617000
40.000000,7.254000
30.000000,7.502000
25.000000,7.427000
20.000000,7.172000
15.000000,6.682000
10.000000,5.853000
7.500000,5.250000
5.000000,4.443000
2.500000,3.268000
1.250000,2.367000
0.000000,0.000000
1.250000,-2.367000
2.500000,-3.268000
5.000000,-4.443000
7.500000,-5.250000
10.000000,-5.853000
15.000000,-6.682000
20.000000,-7.172000
25.000000,-7.427000
30.000000,-7.502000
40.000000,-7.254000
50.000000,-6.617000
60.000000,-5.704000
70.000000,-4.580000
80.000000,-3.279000
90.000000,-1.810000
95.000000,-1.008000
100.000000,-0.158000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.250000,0.000000
2.500000,0.000000
5.000000,0.000000
7.500000,0.000000
10.000000,0.000000
15.000000,0.000000
20.000000,0.000000
25.000000,0.000000
30.000000,0.000000
40.000000,0.000000
50.000000,0.000000
60.000000,0.000000
70.000000,0.000000
80.000000,0.000000
90.000000,0.000000
95.000000,0.000000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
